MASS,date,ind
65.0,2017-09-05,0
55.0,2017-09-06,1
65.0,2017-09-07,2
65.0,2017-09-08,3
70.0,2017-09-11,4
75.0,2017-09-12,5
70.0,2017-09-13,6
60.0,2017-09-14,7
55.0,2017-09-15,8
55.0,2017-09-18,9
35.0,2017-09-19,10
35.0,2017-09-20,11
25.0,2017-09-21,12
15.0,2017-09-22,13
15.0,2017-09-25,14
15.0,2017-09-26,15
20.0,2017-09-27,16
20.0,2017-09-28,17
20.0,2017-09-29,18
30.0,2017-10-09,19
20.0,2017-10-10,20
10.0,2017-10-11,21
20.0,2017-10-12,22
25.0,2017-10-13,23
20.0,2017-10-16,24
25.0,2017-10-17,25
35.0,2017-10-18,26
45.0,2017-10-19,27
50.0,2017-10-20,28
45.0,2017-10-23,29
45.0,2017-10-24,30
55.0,2017-10-25,31
70.0,2017-10-26,32
85.0,2017-10-27,33
95.0,2017-10-30,34
90.0,2017-10-31,35
95.0,2017-11-01,36
90.0,2017-11-02,37
85.0,2017-11-03,38
90.0,2017-11-06,39
95.0,2017-11-07,40
95.0,2017-11-08,41
95.0,2017-11-09,42
95.0,2017-11-10,43
95.0,2017-11-13,44
90.0,2017-11-14,45
80.0,2017-11-15,46
80.0,2017-11-16,47
75.0,2017-11-17,48
80.0,2017-11-20,49
85.0,2017-11-21,50
85.0,2017-11-22,51
75.0,2017-11-23,52
50.0,2017-11-24,53
40.0,2017-11-27,54
40.0,2017-11-28,55
35.0,2017-11-29,56
30.0,2017-11-30,57
25.0,2017-12-01,58
25.0,2017-12-04,59
25.0,2017-12-05,60
15.0,2017-12-06,61
10.0,2017-12-07,62
5.0,2017-12-08,63
20.0,2017-12-11,64
20.0,2017-12-12,65
40.0,2017-12-13,66
50.0,2017-12-14,67
55.0,2017-12-15,68
50.0,2017-12-18,69
75.0,2017-12-19,70
75.0,2017-12-20,71
85.0,2017-12-21,72
80.0,2017-12-22,73
80.0,2017-12-25,74
80.0,2017-12-26,75
55.0,2017-12-27,76
55.0,2017-12-28,77
55.0,2017-12-29,78
65.0,2018-01-02,79
60.0,2018-01-03,80
55.0,2018-01-04,81
45.0,2018-01-05,82
30.0,2018-01-08,83
55.0,2018-01-09,84
50.0,2018-01-10,85
45.0,2018-01-11,86
55.0,2018-01-12,87
80.0,2018-01-15,88
90.0,2018-01-16,89
90.0,2018-01-17,90
90.0,2018-01-18,91
85.0,2018-01-19,92
90.0,2018-01-22,93
95.0,2018-01-23,94
95.0,2018-01-24,95
90.0,2018-01-25,96
90.0,2018-01-26,97
85.0,2018-01-29,98
90.0,2018-01-30,99
90.0,2018-01-31,100
85.0,2018-02-01,101
90.0,2018-02-02,102
90.0,2018-02-05,103
75.0,2018-02-06,104
60.0,2018-02-07,105
45.0,2018-02-08,106
30.0,2018-02-09,107
30.0,2018-02-12,108
30.0,2018-02-13,109
35.0,2018-02-14,110
40.0,2018-02-22,111
35.0,2018-02-23,112
40.0,2018-02-26,113
40.0,2018-02-27,114
40.0,2018-02-28,115
35.0,2018-03-01,116
35.0,2018-03-02,117
30.0,2018-03-05,118
35.0,2018-03-06,119
30.0,2018-03-07,120
35.0,2018-03-08,121
45.0,2018-03-09,122
50.0,2018-03-12,123
50.0,2018-03-13,124
40.0,2018-03-14,125
35.0,2018-03-15,126
25.0,2018-03-16,127
15.0,2018-03-19,128
15.0,2018-03-20,129
10.0,2018-03-21,130
5.0,2018-03-22,131
0.0,2018-03-23,132
5.0,2018-03-26,133
10.0,2018-03-27,134
10.0,2018-03-28,135
15.0,2018-03-29,136
20.0,2018-03-30,137
20.0,2018-04-02,138
25.0,2018-04-03,139
25.0,2018-04-04,140
35.0,2018-04-09,141
40.0,2018-04-10,142
50.0,2018-04-11,143
65.0,2018-04-12,144
60.0,2018-04-13,145
55.0,2018-04-16,146
55.0,2018-04-17,147
55.0,2018-04-18,148
60.0,2018-04-19,149
50.0,2018-04-20,150
35.0,2018-04-23,151
35.0,2018-04-24,152
35.0,2018-04-25,153
35.0,2018-04-26,154
35.0,2018-04-27,155
40.0,2018-05-02,156
40.0,2018-05-03,157
30.0,2018-05-04,158
35.0,2018-05-07,159
55.0,2018-05-08,160
65.0,2018-05-09,161
70.0,2018-05-10,162
75.0,2018-05-11,163
75.0,2018-05-14,164
80.0,2018-05-15,165
75.0,2018-05-16,166
75.0,2018-05-17,167
75.0,2018-05-18,168
75.0,2018-05-21,169
70.0,2018-05-22,170
55.0,2018-05-23,171
45.0,2018-05-24,172
40.0,2018-05-25,173
45.0,2018-05-28,174
50.0,2018-05-29,175
45.0,2018-05-30,176
50.0,2018-05-31,177
50.0,2018-06-01,178
0.0,2018-06-04,179
