h-l,h-c,l-c,tr,PDM,MDM,DPD,DMD,NTR,NPDM,NMDM,ADX,ADXR,PDI,MDI,DX,date,ind
15.820000000000164,,,15.820000000000164,,,,,0.0,0.0,0.0,0.0,0.0,,,,2017-08-08,0
14.090000000000146,3.9299999999998363,18.019999999999982,18.019999999999982,-7.539999999999964,5.809999999999945,0.0,5.809999999999945,0.0,0.0,0.0,0.0,0.0,,,,2017-08-09,1
46.340000000000146,6.949999999999818,39.39000000000033,46.340000000000146,4.579999999999927,27.670000000000073,0.0,27.670000000000073,0.0,0.0,0.0,0.0,0.0,,,,2017-08-10,2
44.36999999999989,16.63000000000011,61.0,61.0,-37.40000000000009,35.429999999999836,0.0,35.429999999999836,0.0,0.0,0.0,0.0,0.0,,,,2017-08-11,3
34.01000000000022,31.51000000000022,2.5,34.01000000000022,-5.069999999999709,-5.289999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-14,4
28.490000000000236,26.230000000000018,2.2600000000002183,28.490000000000236,23.539999999999964,-29.059999999999945,23.539999999999964,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-15,5
19.920000000000073,2.4700000000002547,22.390000000000327,22.390000000000327,-14.800000000000182,6.230000000000018,0.0,6.230000000000018,0.0,0.0,0.0,0.0,0.0,,,,2017-08-16,6
17.679999999999836,22.690000000000055,5.010000000000218,22.690000000000055,20.34999999999991,-22.590000000000146,20.34999999999991,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-17,7
27.0,6.650000000000091,20.34999999999991,27.0,5.940000000000055,3.380000000000109,5.940000000000055,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-18,8
17.039999999999964,18.800000000000182,1.7600000000002183,18.800000000000182,12.440000000000055,-22.40000000000009,12.440000000000055,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-21,9
18.539999999999964,6.570000000000164,11.9699999999998,18.539999999999964,5.960000000000036,-4.460000000000036,5.960000000000036,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-22,10
25.019999999999982,9.230000000000018,15.789999999999964,25.019999999999982,5.980000000000018,0.5,5.980000000000018,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-23,11
31.629999999999654,10.289999999999964,21.33999999999969,31.629999999999654,-1.4700000000002547,8.079999999999927,0.0,8.079999999999927,322.3000000000011,74.21000000000004,75.13999999999987,0.0,0.0,23.025131864722244,23.31368290412647,0.6226983595579666,2017-08-24,12
60.44999999999982,60.399999999999636,0.0500000000001819,60.44999999999982,33.92000000000007,-5.099999999999909,33.92000000000007,0.0,335.91000000000076,74.21000000000004,77.40999999999985,0.0,0.0,22.092227084635727,23.04486320740665,2.110539506661268,2017-08-25,13
38.90000000000009,43.51000000000022,4.610000000000127,43.51000000000022,43.120000000000346,-64.67000000000007,43.120000000000346,0.0,350.02000000000044,108.13000000000011,49.73999999999978,0.0,0.0,30.89252042740414,14.21061653619785,36.986127826693085,2017-08-28,14
20.13000000000011,11.940000000000055,8.190000000000055,20.13000000000011,-0.44000000000005457,-18.329999999999927,0.0,0.0,332.53000000000065,151.25000000000045,14.309999999999945,0.0,0.0,45.48461792920944,4.303371124409803,82.71321575259736,2017-08-29,15
19.570000000000164,11.420000000000073,8.150000000000091,19.570000000000164,2.0599999999999454,-2.619999999999891,2.0599999999999454,0.0,318.65000000000055,151.25000000000045,14.309999999999945,,0.0,47.465871646006654,4.490820649615541,82.71321575259735,2017-08-30,16
26.670000000000073,3.730000000000018,22.940000000000055,26.670000000000073,-9.289999999999964,16.389999999999873,0.0,16.389999999999873,309.7300000000005,129.77000000000044,14.309999999999945,,,41.89778193910833,4.62015303651565,80.13603553581355,2017-08-31,17
23.460000000000036,21.11999999999989,2.3400000000001455,23.460000000000036,14.569999999999709,-17.779999999999745,14.569999999999709,0.0,314.0100000000002,129.77000000000044,24.4699999999998,,,41.32670934046697,7.792745453966365,68.27022821576793,2017-09-01,18
22.269999999999982,14.2800000000002,7.989999999999782,22.269999999999982,-0.5299999999997453,-0.6600000000003092,0.0,0.0,314.7800000000002,123.99000000000024,24.4699999999998,,,39.389414829404714,7.773683207319329,67.03489155328062,2017-09-04,19
19.25,11.240000000000236,8.009999999999764,19.25,9.420000000000073,-12.440000000000055,9.420000000000073,0.0,310.0500000000002,118.05000000000018,24.4699999999998,,,38.07450411224,7.892275439445181,65.66095986528234,2017-09-05,20
26.25,6.690000000000055,19.559999999999945,26.25,0.19000000000005457,6.809999999999945,0.0,6.809999999999945,310.5,115.0300000000002,24.4699999999998,,,37.046698872785896,7.880837359098164,64.91756272401462,2017-09-06,21
24.620000000000346,2.4100000000003092,22.210000000000036,24.620000000000346,-3.2100000000000364,1.580000000000382,0.0,1.580000000000382,318.21000000000004,109.07000000000016,31.279999999999745,,,34.276106973382404,9.829986486911078,55.42572141075915,2017-09-07,22
27.199999999999818,15.389999999999873,11.809999999999945,27.199999999999818,-6.910000000000309,9.489999999999782,0.0,9.489999999999782,317.8100000000004,103.09000000000015,32.86000000000013,,,32.43761996161229,10.339511028602022,51.65869805075386,2017-09-08,23
24.759999999999764,19.570000000000164,5.1899999999996,24.759999999999764,3.9200000000000728,-6.360000000000127,3.9200000000000728,0.0,313.38000000000056,103.09000000000015,34.26999999999998,,,32.89616440104664,10.935605335375557,50.10192195690165,2017-09-11,24
