h-l,h-c,l-c,tr,PDM,MDM,DPD,DMD,NTR,NPDM,NMDM,ADX,ADXR,PDI,MDI,DX,date,ind
25.429999999999836,,,25.429999999999836,,,,,0.0,0.0,0.0,0.0,0.0,,,,2017-08-09,0
58.68000000000029,15.820000000000164,42.86000000000013,58.68000000000029,7.860000000000127,25.390000000000327,0.0,25.390000000000327,0.0,0.0,0.0,0.0,0.0,,,,2017-08-10,1
55.399999999999636,15.430000000000291,70.82999999999993,70.82999999999993,-46.370000000000346,43.08999999999969,0.0,43.08999999999969,0.0,0.0,0.0,0.0,0.0,,,,2017-08-11,2
46.98999999999978,51.01999999999998,4.0300000000002,51.01999999999998,-2.119999999999891,-6.289999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-14,3
27.009999999999764,24.610000000000127,2.399999999999636,27.009999999999764,20.920000000000073,-40.90000000000009,20.920000000000073,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-15,4
27.409999999999854,1.0799999999999272,26.329999999999927,27.409999999999854,-12.150000000000091,12.550000000000182,0.0,12.550000000000182,0.0,0.0,0.0,0.0,0.0,,,,2017-08-16,5
18.210000000000036,21.199999999999818,2.9899999999997817,21.199999999999818,15.480000000000018,-24.679999999999836,15.480000000000018,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-17,6
33.07999999999993,12.209999999999582,20.870000000000346,33.07999999999993,10.86999999999989,4.0,10.86999999999989,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-18,7
15.640000000000327,19.590000000000146,3.949999999999818,19.590000000000146,10.770000000000437,-28.210000000000036,10.770000000000437,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-21,8
23.730000000000018,17.300000000000182,6.429999999999836,23.730000000000018,14.029999999999745,-5.940000000000055,14.029999999999745,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-22,9
30.740000000000236,20.159999999999854,10.580000000000382,30.740000000000236,14.170000000000073,-7.1599999999998545,14.170000000000073,0.0,0.0,0.0,0.0,0.0,0.0,,,,2017-08-23,10
36.61999999999989,9.61999999999989,27.0,36.61999999999989,-6.75,12.629999999999654,0.0,12.629999999999654,0.0,0.0,0.0,0.0,0.0,,,,2017-08-24,11
59.679999999999836,61.31999999999971,1.6399999999998727,61.31999999999971,30.259999999999764,-7.199999999999818,30.259999999999764,0.0,399.90999999999985,86.24000000000024,93.65999999999985,0.0,0.0,21.564852091720706,23.420269560651118,4.124513618676823,2017-08-25,12
61.2800000000002,71.19000000000005,9.909999999999854,71.19000000000005,70.97000000000025,-69.36999999999989,70.97000000000025,0.0,402.5499999999993,116.5,68.26999999999953,0.0,0.0,28.940504285182016,16.95938392746234,26.10272230340455,2017-08-28,13
22.169999999999618,5.2199999999998,16.949999999999818,22.169999999999618,-19.01000000000022,-20.100000000000364,0.0,0.0,402.9099999999994,187.47000000000025,25.179999999999836,0.0,0.0,46.52900151398588,6.249534635526513,76.3178932518224,2017-08-29,14
26.84999999999991,20.170000000000073,6.679999999999836,26.84999999999991,6.7800000000002,-2.099999999999909,6.7800000000002,0.0,374.05999999999904,187.47000000000025,25.179999999999836,0.0,0.0,50.11762818799143,6.731540394589077,76.31789325182241,2017-08-30,15
39.309999999999945,5.899999999999636,33.41000000000031,39.309999999999945,-14.510000000000218,26.970000000000255,0.0,26.970000000000255,373.8999999999992,173.33000000000038,25.179999999999836,,0.0,46.35731479005102,6.734420968173279,74.63100095713081,2017-08-31,16
25.460000000000036,21.529999999999745,3.930000000000291,25.460000000000036,3.4200000000000728,-17.269999999999982,3.4200000000000728,0.0,385.7999999999993,173.33000000000038,39.59999999999991,,,44.92742353551081,10.264385692068426,62.80467759357548,2017-09-01,17
33.539999999999964,16.550000000000182,16.98999999999978,33.539999999999964,3.4700000000002547,4.609999999999673,0.0,4.609999999999673,390.0599999999995,161.27000000000044,39.59999999999991,,,41.34492129416004,10.15228426395938,60.571513914472206,2017-09-04,18
23.340000000000146,19.670000000000073,3.6700000000000728,23.340000000000146,18.199999999999818,-28.399999999999636,18.199999999999818,0.0,390.5199999999995,150.40000000000055,44.20999999999958,,,38.51275222779902,11.320803031854869,54.565541339088895,2017-09-05,19
26.86999999999989,1.199999999999818,25.670000000000073,26.86999999999989,-7.039999999999964,10.569999999999709,0.0,10.569999999999709,394.2699999999995,157.82999999999993,44.20999999999958,,,40.030943262231496,11.213128059451552,56.23638883389458,2017-09-06,20
29.31999999999971,8.710000000000036,20.609999999999673,29.31999999999971,-0.09000000000014552,2.5399999999999636,0.0,2.5399999999999636,397.4099999999994,143.80000000000018,54.77999999999929,,,36.18429329911185,13.784253038423635,44.82828079363538,2017-09-07,21
29.039999999999964,13.150000000000091,15.889999999999873,29.039999999999964,-15.139999999999873,14.860000000000127,0.0,14.860000000000127,395.9899999999989,129.6300000000001,57.319999999999254,,,32.73567514331182,14.475113007904092,38.67879112062108,2017-09-08,22
33.22999999999956,24.75,8.479999999999563,33.22999999999956,7.7199999999998,-3.5300000000002,7.7199999999998,0.0,388.40999999999894,129.6300000000001,59.54999999999973,,,33.37452691743273,15.331737081949456,37.04408499841445,2017-09-11,23
27.389999999999873,23.73999999999978,3.650000000000091,27.389999999999873,-1.349999999999909,-4.489999999999782,0.0,0.0,360.3199999999988,107.09000000000015,59.54999999999973,,,29.720803730017902,16.526976021314365,28.528564570331532,2017-09-12,24
