MASS,date,ind
45.0,2017-09-06,0
40.0,2017-09-07,1
35.0,2017-09-08,2
45.0,2017-09-11,3
55.0,2017-09-12,4
60.0,2017-09-13,5
60.0,2017-09-14,6
55.0,2017-09-15,7
45.0,2017-09-18,8
45.0,2017-09-19,9
35.0,2017-09-20,10
30.0,2017-09-21,11
10.0,2017-09-22,12
5.0,2017-09-25,13
10.0,2017-09-26,14
10.0,2017-09-27,15
5.0,2017-09-28,16
20.0,2017-09-29,17
25.0,2017-10-09,18
25.0,2017-10-10,19
20.0,2017-10-11,20
15.0,2017-10-12,21
30.0,2017-10-13,22
30.0,2017-10-16,23
25.0,2017-10-17,24
30.0,2017-10-18,25
20.0,2017-10-19,26
20.0,2017-10-20,27
25.0,2017-10-23,28
25.0,2017-10-24,29
30.0,2017-10-25,30
25.0,2017-10-26,31
15.0,2017-10-27,32
10.0,2017-10-30,33
5.0,2017-10-31,34
0.0,2017-11-01,35
0.0,2017-11-02,36
0.0,2017-11-03,37
5.0,2017-11-06,38
10.0,2017-11-07,39
10.0,2017-11-08,40
10.0,2017-11-09,41
5.0,2017-11-10,42
5.0,2017-11-13,43
15.0,2017-11-14,44
10.0,2017-11-15,45
5.0,2017-11-16,46
0.0,2017-11-17,47
0.0,2017-11-20,48
0.0,2017-11-21,49
5.0,2017-11-22,50
20.0,2017-11-23,51
25.0,2017-11-24,52
25.0,2017-11-27,53
35.0,2017-11-28,54
35.0,2017-11-29,55
25.0,2017-11-30,56
30.0,2017-12-01,57
25.0,2017-12-04,58
25.0,2017-12-05,59
30.0,2017-12-06,60
30.0,2017-12-07,61
35.0,2017-12-08,62
45.0,2017-12-11,63
45.0,2017-12-12,64
50.0,2017-12-13,65
55.0,2017-12-14,66
55.0,2017-12-15,67
55.0,2017-12-18,68
55.0,2017-12-19,69
45.0,2017-12-20,70
35.0,2017-12-21,71
35.0,2017-12-22,72
30.0,2017-12-25,73
30.0,2017-12-26,74
25.0,2017-12-27,75
30.0,2017-12-28,76
35.0,2017-12-29,77
40.0,2018-01-02,78
70.0,2018-01-03,79
85.0,2018-01-04,80
85.0,2018-01-05,81
85.0,2018-01-08,82
75.0,2018-01-09,83
70.0,2018-01-10,84
65.0,2018-01-11,85
60.0,2018-01-12,86
55.0,2018-01-15,87
55.0,2018-01-16,88
55.0,2018-01-17,89
50.0,2018-01-18,90
50.0,2018-01-19,91
55.0,2018-01-22,92
50.0,2018-01-23,93
50.0,2018-01-24,94
50.0,2018-01-25,95
35.0,2018-01-26,96
20.0,2018-01-29,97
15.0,2018-01-30,98
10.0,2018-01-31,99
10.0,2018-02-01,100
10.0,2018-02-02,101
10.0,2018-02-05,102
0.0,2018-02-06,103
0.0,2018-02-07,104
10.0,2018-02-08,105
0.0,2018-02-09,106
5.0,2018-02-12,107
10.0,2018-02-13,108
15.0,2018-02-14,109
20.0,2018-02-22,110
35.0,2018-02-23,111
45.0,2018-02-26,112
45.0,2018-02-27,113
45.0,2018-02-28,114
45.0,2018-03-01,115
60.0,2018-03-02,116
60.0,2018-03-05,117
70.0,2018-03-06,118
70.0,2018-03-07,119
80.0,2018-03-08,120
85.0,2018-03-09,121
90.0,2018-03-12,122
80.0,2018-03-13,123
75.0,2018-03-14,124
75.0,2018-03-15,125
65.0,2018-03-16,126
65.0,2018-03-19,127
60.0,2018-03-20,128
65.0,2018-03-21,129
60.0,2018-03-22,130
60.0,2018-03-23,131
65.0,2018-03-26,132
70.0,2018-03-27,133
75.0,2018-03-28,134
70.0,2018-03-29,135
75.0,2018-03-30,136
70.0,2018-04-02,137
60.0,2018-04-03,138
50.0,2018-04-04,139
45.0,2018-04-09,140
50.0,2018-04-10,141
45.0,2018-04-11,142
40.0,2018-04-12,143
20.0,2018-04-13,144
25.0,2018-04-16,145
0.0,2018-04-17,146
0.0,2018-04-18,147
10.0,2018-04-19,148
15.0,2018-04-20,149
15.0,2018-04-23,150
20.0,2018-04-24,151
10.0,2018-04-25,152
10.0,2018-04-26,153
20.0,2018-04-27,154
10.0,2018-05-02,155
10.0,2018-05-03,156
10.0,2018-05-04,157
20.0,2018-05-07,158
30.0,2018-05-08,159
35.0,2018-05-09,160
30.0,2018-05-10,161
30.0,2018-05-11,162
20.0,2018-05-14,163
20.0,2018-05-15,164
25.0,2018-05-16,165
20.0,2018-05-17,166
20.0,2018-05-18,167
30.0,2018-05-21,168
45.0,2018-05-22,169
45.0,2018-05-23,170
40.0,2018-05-24,171
45.0,2018-05-25,172
30.0,2018-05-28,173
30.0,2018-05-29,174
10.0,2018-05-30,175
5.0,2018-05-31,176
0.0,2018-06-01,177
0.0,2018-06-04,178
0.0,2018-06-05,179
