date,avg,DIFF,DEA,MACD,ind
2017-09-25,26.32999999999999,1.0483038405572174,1.3839408763008205,-0.33563703574360315,33
2017-09-26,26.282222222222217,1.0181861859631702,1.3107899382332904,-0.29260375227012014,34
2017-09-27,26.452222222222215,1.121789890358567,1.2729899286583457,-0.15120003829977868,35
2017-09-28,26.49555555555555,1.1120003152796478,1.240792005982606,-0.12879169070295826,36
2017-09-29,26.699999999999996,1.1323418126932623,1.2191019673247374,-0.08676015463147513,37
2017-10-09,26.87888888888888,1.1002749880151192,1.1953365714628137,-0.09506158344769444,38
2017-10-10,27.015555555555547,1.044265082777084,1.1651222737256677,-0.1208571909485836,39
2017-10-11,26.85777777777777,0.9238668369891414,1.1168711863783625,-0.19300434938922106,40
2017-10-12,26.86666666666666,0.8150207260499904,1.056501094312688,-0.2414803682626976,41
2017-10-13,27.026666666666657,0.7276339357010855,0.9907276625903675,-0.263093726889282,42
2017-10-16,26.87888888888888,0.5583407645080563,0.9042502829739052,-0.34590951846584894,43
2017-10-17,26.564444444444437,0.43848610600060667,0.8110974475792455,-0.37261134157863884,44
2017-10-18,26.38777777777777,0.36032663160302647,0.7209432843840017,-0.3606166527809752,45
2017-10-19,26.31777777777777,0.4122492470282495,0.6592044769128512,-0.24695522988460172,46
2017-10-20,26.42666666666666,0.541564695044837,0.6356765205392484,-0.09411182549441144,47
2017-10-23,26.723333333333322,0.7531757760259836,0.6591763716365955,0.09399940438938814,48
2017-10-24,26.916666666666657,0.7715813149596329,0.6816573603012029,0.08992395465842995,49
2017-10-25,27.302222222222213,0.9112257535548345,0.7275710389519292,0.18365471460290528,50
2017-10-26,27.975555555555545,1.2240386242085677,0.8268645560032569,0.39717406820531076,51
2017-10-27,28.855555555555547,1.5110112308551287,0.9636938909736312,0.5473173398814974,52
2017-10-30,29.592222222222215,1.6348671337166216,1.0979285395222294,0.5369385941943923,53
2017-10-31,30.564444444444437,1.9031318196198796,1.2589691955417595,0.6441626240781202,54
2017-11-01,31.30555555555555,2.042961624021352,1.415767681237678,0.6271939427836739,55
2017-11-02,31.541111111111107,1.8596036459994707,1.5045348741900366,0.3550687718094341,56
2017-11-03,31.358888888888885,1.5112792626945826,1.5058837518909458,0.0053955108036367605,57
2017-11-06,31.373333333333328,1.2235461502740037,1.4494162315675574,-0.22587008129355368,58
2017-11-07,31.289999999999996,1.0479883425339658,1.369130653760839,-0.3211423112268732,59
2017-11-08,30.91555555555555,0.9032864892614683,1.2759618208609649,-0.3726753315994966,60
2017-11-09,30.388888888888882,0.7261749348256181,1.1660044436538954,-0.4398295088282773,61
2017-11-10,29.94777777777777,0.5568006407824235,1.044163683079601,-0.48736304229717753,62
2017-11-13,29.25999999999999,0.4305182093721456,0.92143458833811,-0.4909163789659644,63
2017-11-14,28.761111111111102,0.41362435901512384,0.8198725424735127,-0.40624818345838887,64
2017-11-15,28.53999999999999,0.32547533826229724,0.7209931016312696,-0.3955177633689724,65
2017-11-16,28.542222222222208,0.22956969136749095,0.6227084195785139,-0.3931387282110229,66
2017-11-17,28.308888888888873,-0.01490988601581833,0.4951847584596474,-0.5100946444754657,67
2017-11-20,27.87666666666665,-0.2852581601934432,0.33909617472902925,-0.6243543349224725,68
2017-11-21,27.458888888888875,-0.4786619857150214,0.1755445426402191,-0.6542065283552405,69
2017-11-22,27.11333333333332,-0.626329803594146,0.015169673393346045,-0.6414994769874921,70
2017-11-23,26.66222222222221,-0.8330059594413939,-0.15446545317360197,-0.6785405062677919,71
2017-11-24,26.239999999999984,-0.9519345036585634,-0.31395926327059426,-0.637975240387969,72
2017-11-27,25.669999999999984,-1.0534091807100943,-0.46184924675849426,-0.5915599339516,73
2017-11-28,25.252222222222205,-1.0818191506996406,-0.5858432275467236,-0.49597592315291705,74
2017-11-29,24.821111111111094,-1.1244558035324808,-0.6935657427438751,-0.4308900607886057,75
2017-11-30,24.61777777777776,-1.1482371605549915,-0.7845000263060984,-0.3637371342488931,76
2017-12-01,24.516666666666648,-1.1593679996973556,-0.8594736209843499,-0.2998943787130057,77
2017-12-04,24.254444444444427,-1.2553893921912618,-0.9386567752257322,-0.31673261696552957,78
2017-12-05,23.85888888888887,-1.4136353334079566,-1.033652486862177,-0.3799828465457795,79
2017-12-06,23.639999999999983,-1.4927894430972977,-1.1254798781092012,-0.3673095649880964,80
2017-12-07,23.39666666666665,-1.5218385097416842,-1.2047516044356978,-0.3170869053059864,81
2017-12-08,23.218888888888873,-1.4993346330699993,-1.263668210162558,-0.23566642290744122,82
2017-12-11,23.00222222222221,-1.4534488649304187,-1.3016243411161301,-0.15182452381428857,83
2017-12-12,22.967777777777762,-1.3028152988389472,-1.3018625326606936,-0.0009527661782535723,84
2017-12-13,22.918888888888873,-1.183511903196468,-1.2781924067678485,0.09468050357138047,85
2017-12-14,22.839999999999986,-1.1036757738105187,-1.2432890801763825,0.13961330636586378,86
2017-12-15,22.848888888888876,-1.0660414755872196,-1.20783955925855,0.1417980836713304,87
2017-12-18,23.007777777777765,-1.0140369231263762,-1.1690790320321152,0.155042108905739,88
2017-12-19,23.16333333333332,-0.9354118529860997,-1.122345596222912,0.18693374323681233,89
2017-12-20,23.282222222222213,-0.8735214207908832,-1.0725807611365064,0.19905934034562311,90
2017-12-21,23.34888888888888,-0.8246497554437369,-1.0229945599979524,0.19834480455421555,91
2017-12-22,23.375555555555547,-0.7945121286852199,-0.9772980737354059,0.18278594505018597,92
2017-12-25,23.101111111111102,-0.8799084367384005,-0.9578201463360048,0.0779117095976043,93
