date,avg,DIFF,DEA,MACD,ind
2017-09-25,3360.7544444444447,23.063855831414003,37.14703644269376,-14.083180611279758,33
2017-09-26,3356.246666666667,20.039977692042612,33.72562469256353,-13.685647000520916,34
2017-09-27,3353.34,17.577281398323976,30.49595603371562,-12.918674635391643,35
2017-09-28,3351.786666666667,14.998390781896887,27.39644298335187,-12.398052201454984,36
2017-09-29,3350.24,13.548850945301638,24.626924575741825,-11.078073630440187,37
2017-10-09,3352.188888888889,14.288170435771463,22.559173747747753,-8.27100331197629,38
2017-10-10,3354.076666666667,15.3914188065296,21.12562275950412,-5.7342039529745215,39
2017-10-11,3357.4622222222224,16.502380706052463,20.20097434881379,-3.6985936427613275,40
2017-10-12,3361.192222222222,17.010827998201876,19.562945078691406,-2.5521170804895306,41
2017-10-13,3366.633333333333,17.567921141644547,19.163940291282035,-1.5960191496374883,42
2017-10-16,3370.51,16.842932337884577,18.699738700602545,-1.8568063627179683,43
2017-10-17,3373.4844444444448,15.570044445048097,18.073799849491657,-2.5037554044435595,44
2017-10-18,3378.1677777777786,15.17310897977677,17.49366167554868,-2.3205526957719087,45
2017-10-19,3380.526666666667,13.762255165335773,16.747380373506097,-2.9851252081703237,46
2017-10-20,3381.0011111111116,13.176517787464945,16.033207856297867,-2.856690068832922,47
2017-10-23,3380.7466666666674,12.730979753093834,15.37276223565706,-2.641782482563226,48
2017-10-24,3380.743333333334,12.839108304477122,14.866031449421072,-2.02692314494395,49
2017-10-25,3381.9433333333345,13.467538271464491,14.586332813829756,-1.118794542365265,50
2017-10-26,3383.8377777777787,14.657589803759947,14.600584211815795,0.057005591944152556,51
2017-10-27,3388.097777777779,16.160022317053517,14.91247183286334,1.247550484190178,52
2017-10-30,3390.1311111111117,15.041415057474296,14.93826047778553,0.10315457968876629,53
2017-10-31,3391.414444444445,14.232917460282351,14.797191874284895,-0.5642744140025435,54
2017-11-01,3394.274444444445,13.642294927322382,14.566212484892393,-0.9239175575700109,55
2017-11-02,3394.792222222223,12.018960521985719,14.056762092311057,-2.037801570325339,56
2017-11-03,3393.796666666667,9.687186152881623,13.18284690442517,-3.4956607515435483,57
2017-11-06,3393.787777777778,9.060557389020687,12.358389001344275,-3.297831612323588,58
2017-11-07,3395.6400000000003,10.492565538257622,11.985224308726945,-1.4926587704693226,59
2017-11-08,3396.516666666667,11.645705079246909,11.917320462830938,-0.27161538358402915,60
2017-11-09,3397.7366666666667,13.400037140372206,12.213863798339192,1.1861733420330136,61
2017-11-10,3402.44,15.011094599768057,12.773309958624965,2.237784641143092,62
2017-11-13,3408.4955555555553,17.312394950010003,13.681126956901974,3.631267993108029,63
2017-11-14,3412.233333333333,17.45908445575469,14.436718456672518,3.022365999082174,64
2017-11-15,3414.3677777777775,15.218808889534557,14.593136543244926,0.6256723462896314,65
2017-11-16,3417.4244444444444,13.029318814695216,14.280372997534984,-1.251054182839768,66
