date,kdj_k,kdj_d,kdj_j,ind
2017-08-09,50.0,50.0,50.0,0
2017-08-10,49.09111565553289,49.6970385518443,47.879269862910064,1
2017-08-11,33.46764167740048,44.28723959369636,11.828445844808712,2
2017-08-14,38.554268733477656,42.376249306956794,30.91030758651938,3
2017-08-15,45.67271251518791,43.475070376367164,50.06799679282939,4
2017-08-16,48.89857490858911,45.282905220441144,56.12991428488503,5
2017-08-17,57.554013746337276,49.37327472907319,73.91549178086547,6
2017-08-18,64.43465316540396,54.393734207850116,84.51649108051163,7
2017-08-21,74.36713276763383,61.05153372777802,100.99833084734544,8
2017-08-22,81.14758203354629,67.75021649636744,107.94231310790397,9
2017-08-23,83.1476146848436,72.88268255919283,103.67747893614515,10
2017-08-24,78.87002005918993,74.87846172585853,86.85313672585272,11
2017-08-25,85.86474295921963,78.54055547031223,100.51311793703445,12
2017-08-28,86.93589730449365,81.3390027483727,98.12968641673552,13
2017-08-29,86.42244404478075,83.03348318050872,93.20036577332482,14
2017-08-30,86.04408147046688,84.03701594382811,90.0582125237444,15
2017-08-31,83.957266844634,84.0104329107634,83.85093471237522,16
2017-09-01,83.83568371867493,83.95218318006724,83.6026847958903,17
2017-09-04,86.02042350834054,84.641596622825,88.77807727937164,18
2017-09-05,89.19429330726574,86.15916218430525,95.26455555318671,19
2017-09-06,90.16829380277031,87.49553939046027,95.51380262739036,20
2017-09-07,87.87569973749405,87.62225950613819,88.38258020020572,21
2017-09-08,85.58478949531207,86.94310283586282,82.86816281421056,22
2017-09-11,83.03804441150713,85.64141669441092,77.83129984569953,23
2017-09-12,83.52670724241311,84.93651354374498,80.70709463974936,24
2017-09-13,84.14781143369187,84.67361284039394,83.09620862028774,25
2017-09-14,82.02980459197626,83.79234342425471,78.50472692741937,26
2017-09-15,79.431090086573,82.33859231169414,73.6160856363307,27
2017-09-18,80.53234563382458,81.73651008573762,78.12401672999849,28
2017-09-19,78.60178380182666,80.69160132443396,74.42214875661205,29
2017-09-20,79.81020866682047,80.39780377189614,78.63501845666914,30
2017-09-21,79.11062003990357,79.96874252789861,77.39437506391349,31
2017-09-22,71.33238913586305,77.08995806388675,59.81725127981565,32
2017-09-25,56.30233809885698,70.16075140887683,28.585511478817267,33
2017-09-26,47.82992312180542,62.71714197985303,18.0554854057102,34
2017-09-27,42.399037774785356,55.94444057816381,15.308232168028454,35
2017-09-28,36.5598224068767,49.48290118773477,10.713664845160565,36
2017-09-29,40.843665356707675,46.60315591072574,29.324684248671545,37
2017-10-09,49.508668448922236,47.571660090124574,53.38268516651756,38
2017-10-10,57.593865150992514,50.91239511041388,70.95680523214978,39
2017-10-11,66.85568437792642,56.22682486625139,88.11340340127649,40
2017-10-12,76.12637392954153,62.860007887348104,102.65910601392838,41
2017-10-13,82.35290265224477,69.35763947564699,108.3434290054403,42
2017-10-16,80.09132904089039,72.9355359973948,94.40291512788156,43
2017-10-17,78.49251241774742,74.78786147084567,85.90181431155091,44
2017-10-18,84.88012527121015,78.1519494043005,98.33647700502945,45
2017-10-19,86.04350123565908,80.78246668142002,96.56557034413723,46
2017-10-20,85.76423289128323,82.44305541804108,92.40658783776755,47
2017-10-23,86.52502369200243,83.80371150936153,91.96764805728424,48
2017-10-24,90.99462493530709,86.20068265134339,100.58250950323446,49
2017-10-25,93.77250524530453,88.7246235159971,103.86826870391943,50
2017-10-26,92.59654200838578,90.01526301345999,97.75909999823739,51
2017-10-27,94.68024434521779,91.57025679071259,100.90021945422819,52
2017-10-30,92.95361476973736,92.03137611705418,94.79809207510374,53
2017-10-31,91.26154581200299,91.77476601537046,90.23510540526809,54
2017-11-01,88.60033955662135,90.71662386245409,84.36777094495588,55
2017-11-02,86.60124491629085,89.34483088039967,81.11407298807322,56
2017-11-03,83.45144743636979,87.38036973238971,75.59360284432995,57
2017-11-06,86.63446695341948,87.13173547273297,85.6399299147925,58
2017-11-07,89.23012508920895,87.83119867822496,92.02797791117692,59
2017-11-08,85.66281129816437,87.10840288487144,82.77162812475026,60
2017-11-09,88.10092615898895,87.43924397624394,89.42429052447898,61
2017-11-10,91.3273312779854,88.73527307682443,96.5114476803073,62
2017-11-13,92.87178861632248,90.11411158999044,98.38714266898654,63
2017-11-14,89.63490384929312,89.95437567642468,88.99596019503005,64
2017-11-15,83.71351617358171,87.87408917547702,75.39237016979109,65
2017-11-16,84.35887522145875,86.70235119080427,79.67192328276772,66
2017-11-17,86.99181939046153,86.79884059069002,87.37777699000458,67
2017-11-20,91.22599777654881,88.27455965264295,97.12887402436053,68
2017-11-21,93.83017643902919,90.1264319147717,101.23766548754418,69
2017-11-22,92.21686608070306,90.82324330341548,95.00411163527818,70
2017-11-23,77.25067986075119,86.29905548919405,59.153928603865495,71
2017-11-24,67.47297601796411,80.02369566545073,42.37153672299087,72
2017-11-27,54.71731996618904,71.58823709903017,20.975485700506766,73
2017-11-28,46.87100925178929,63.34916114994987,13.914705455468109,74
2017-11-29,41.408288394039175,56.03553689797964,12.153791386158247,75
2017-11-30,32.42951224522022,48.166862013726494,0.9548127082076547,76
2017-12-01,24.276010652699366,40.20324489338412,-7.578457828670139,77
2017-12-04,20.5602646470712,33.65558481127981,-5.630375681346017,78
2017-12-05,20.635318713645802,29.315496112068473,3.274963916800459,79
2017-12-06,19.504549538716706,26.04518058761788,6.423287440914358,80
2017-12-07,14.651919726396523,22.247426967210764,-0.5390947552319574,81
2017-12-08,15.003857362377062,19.83290376559953,5.345764555932128,82
2017-12-11,22.459976555258784,20.70859469548595,25.96274027480446,83
