MASS,date,ind
55.0,2017-09-06,0
65.0,2017-09-07,1
65.0,2017-09-08,2
70.0,2017-09-11,3
75.0,2017-09-12,4
70.0,2017-09-13,5
60.0,2017-09-14,6
55.0,2017-09-15,7
55.0,2017-09-18,8
35.0,2017-09-19,9
35.0,2017-09-20,10
25.0,2017-09-21,11
15.0,2017-09-22,12
15.0,2017-09-25,13
15.0,2017-09-26,14
20.0,2017-09-27,15
20.0,2017-09-28,16
20.0,2017-09-29,17
30.0,2017-10-09,18
20.0,2017-10-10,19
10.0,2017-10-11,20
20.0,2017-10-12,21
25.0,2017-10-13,22
20.0,2017-10-16,23
25.0,2017-10-17,24
35.0,2017-10-18,25
45.0,2017-10-19,26
50.0,2017-10-20,27
45.0,2017-10-23,28
45.0,2017-10-24,29
55.0,2017-10-25,30
70.0,2017-10-26,31
85.0,2017-10-27,32
95.0,2017-10-30,33
90.0,2017-10-31,34
95.0,2017-11-01,35
90.0,2017-11-02,36
85.0,2017-11-03,37
90.0,2017-11-06,38
95.0,2017-11-07,39
95.0,2017-11-08,40
95.0,2017-11-09,41
95.0,2017-11-10,42
95.0,2017-11-13,43
90.0,2017-11-14,44
80.0,2017-11-15,45
80.0,2017-11-16,46
75.0,2017-11-17,47
80.0,2017-11-20,48
85.0,2017-11-21,49
85.0,2017-11-22,50
75.0,2017-11-23,51
50.0,2017-11-24,52
40.0,2017-11-27,53
40.0,2017-11-28,54
35.0,2017-11-29,55
30.0,2017-11-30,56
25.0,2017-12-01,57
25.0,2017-12-04,58
25.0,2017-12-05,59
15.0,2017-12-06,60
10.0,2017-12-07,61
5.0,2017-12-08,62
20.0,2017-12-11,63
20.0,2017-12-12,64
40.0,2017-12-13,65
50.0,2017-12-14,66
55.0,2017-12-15,67
50.0,2017-12-18,68
75.0,2017-12-19,69
75.0,2017-12-20,70
85.0,2017-12-21,71
80.0,2017-12-22,72
80.0,2017-12-25,73
80.0,2017-12-26,74
55.0,2017-12-27,75
55.0,2017-12-28,76
55.0,2017-12-29,77
65.0,2018-01-02,78
60.0,2018-01-03,79
55.0,2018-01-04,80
45.0,2018-01-05,81
30.0,2018-01-08,82
55.0,2018-01-09,83
50.0,2018-01-10,84
45.0,2018-01-11,85
55.0,2018-01-12,86
80.0,2018-01-15,87
90.0,2018-01-16,88
90.0,2018-01-17,89
90.0,2018-01-18,90
85.0,2018-01-19,91
90.0,2018-01-22,92
95.0,2018-01-23,93
95.0,2018-01-24,94
90.0,2018-01-25,95
90.0,2018-01-26,96
85.0,2018-01-29,97
90.0,2018-01-30,98
90.0,2018-01-31,99
85.0,2018-02-01,100
90.0,2018-02-02,101
90.0,2018-02-05,102
75.0,2018-02-06,103
60.0,2018-02-07,104
45.0,2018-02-08,105
30.0,2018-02-09,106
30.0,2018-02-12,107
30.0,2018-02-13,108
35.0,2018-02-14,109
40.0,2018-02-22,110
35.0,2018-02-23,111
40.0,2018-02-26,112
40.0,2018-02-27,113
40.0,2018-02-28,114
35.0,2018-03-01,115
35.0,2018-03-02,116
30.0,2018-03-05,117
35.0,2018-03-06,118
30.0,2018-03-07,119
35.0,2018-03-08,120
45.0,2018-03-09,121
50.0,2018-03-12,122
50.0,2018-03-13,123
40.0,2018-03-14,124
35.0,2018-03-15,125
25.0,2018-03-16,126
15.0,2018-03-19,127
15.0,2018-03-20,128
10.0,2018-03-21,129
5.0,2018-03-22,130
0.0,2018-03-23,131
5.0,2018-03-26,132
10.0,2018-03-27,133
10.0,2018-03-28,134
15.0,2018-03-29,135
20.0,2018-03-30,136
20.0,2018-04-02,137
25.0,2018-04-03,138
25.0,2018-04-04,139
35.0,2018-04-09,140
40.0,2018-04-10,141
50.0,2018-04-11,142
65.0,2018-04-12,143
60.0,2018-04-13,144
55.0,2018-04-16,145
55.0,2018-04-17,146
55.0,2018-04-18,147
60.0,2018-04-19,148
50.0,2018-04-20,149
35.0,2018-04-23,150
35.0,2018-04-24,151
35.0,2018-04-25,152
35.0,2018-04-26,153
35.0,2018-04-27,154
40.0,2018-05-02,155
40.0,2018-05-03,156
30.0,2018-05-04,157
35.0,2018-05-07,158
55.0,2018-05-08,159
65.0,2018-05-09,160
70.0,2018-05-10,161
75.0,2018-05-11,162
75.0,2018-05-14,163
80.0,2018-05-15,164
75.0,2018-05-16,165
75.0,2018-05-17,166
75.0,2018-05-18,167
75.0,2018-05-21,168
70.0,2018-05-22,169
55.0,2018-05-23,170
45.0,2018-05-24,171
40.0,2018-05-25,172
45.0,2018-05-28,173
50.0,2018-05-29,174
45.0,2018-05-30,175
50.0,2018-05-31,176
50.0,2018-06-01,177
70.0,2018-06-04,178
0.0,2018-06-05,179
