MASS,date,ind
70.0,2017-09-06,0
75.0,2017-09-07,1
80.0,2017-09-08,2
95.0,2017-09-11,3
90.0,2017-09-12,4
85.0,2017-09-13,5
80.0,2017-09-14,6
80.0,2017-09-15,7
75.0,2017-09-18,8
65.0,2017-09-19,9
65.0,2017-09-20,10
60.0,2017-09-21,11
60.0,2017-09-22,12
55.0,2017-09-25,13
55.0,2017-09-26,14
65.0,2017-09-27,15
60.0,2017-09-28,16
60.0,2017-09-29,17
75.0,2017-10-09,18
75.0,2017-10-10,19
80.0,2017-10-11,20
75.0,2017-10-12,21
70.0,2017-10-13,22
75.0,2017-10-16,23
75.0,2017-10-17,24
75.0,2017-10-18,25
65.0,2017-10-19,26
55.0,2017-10-20,27
55.0,2017-10-23,28
45.0,2017-10-24,29
50.0,2017-10-25,30
55.0,2017-10-26,31
50.0,2017-10-27,32
30.0,2017-10-30,33
30.0,2017-10-31,34
25.0,2017-11-01,35
15.0,2017-11-02,36
10.0,2017-11-03,37
25.0,2017-11-06,38
35.0,2017-11-07,39
35.0,2017-11-08,40
35.0,2017-11-09,41
50.0,2017-11-10,42
50.0,2017-11-13,43
55.0,2017-11-14,44
55.0,2017-11-15,45
55.0,2017-11-16,46
55.0,2017-11-17,47
50.0,2017-11-20,48
50.0,2017-11-21,49
45.0,2017-11-22,50
35.0,2017-11-23,51
40.0,2017-11-24,52
20.0,2017-11-27,53
20.0,2017-11-28,54
15.0,2017-11-29,55
10.0,2017-11-30,56
10.0,2017-12-01,57
5.0,2017-12-04,58
5.0,2017-12-05,59
10.0,2017-12-06,60
10.0,2017-12-07,61
20.0,2017-12-08,62
25.0,2017-12-11,63
20.0,2017-12-12,64
25.0,2017-12-13,65
25.0,2017-12-14,66
30.0,2017-12-15,67
30.0,2017-12-18,68
40.0,2017-12-19,69
35.0,2017-12-20,70
20.0,2017-12-21,71
10.0,2017-12-22,72
10.0,2017-12-25,73
10.0,2017-12-26,74
10.0,2017-12-27,75
10.0,2017-12-28,76
15.0,2017-12-29,77
25.0,2018-01-02,78
30.0,2018-01-03,79
35.0,2018-01-04,80
40.0,2018-01-05,81
50.0,2018-01-08,82
50.0,2018-01-09,83
50.0,2018-01-10,84
45.0,2018-01-11,85
50.0,2018-01-12,86
45.0,2018-01-15,87
55.0,2018-01-16,88
70.0,2018-01-17,89
75.0,2018-01-18,90
80.0,2018-01-19,91
80.0,2018-01-22,92
85.0,2018-01-23,93
90.0,2018-01-24,94
90.0,2018-01-25,95
90.0,2018-01-26,96
80.0,2018-01-29,97
75.0,2018-01-30,98
65.0,2018-01-31,99
55.0,2018-02-01,100
40.0,2018-02-02,101
30.0,2018-02-05,102
20.0,2018-02-06,103
10.0,2018-02-07,104
15.0,2018-02-08,105
5.0,2018-02-09,106
10.0,2018-02-12,107
15.0,2018-02-13,108
15.0,2018-02-14,109
20.0,2018-02-22,110
25.0,2018-02-23,111
40.0,2018-02-26,112
45.0,2018-02-27,113
40.0,2018-02-28,114
50.0,2018-03-01,115
40.0,2018-03-02,116
45.0,2018-03-05,117
50.0,2018-03-06,118
55.0,2018-03-07,119
70.0,2018-03-08,120
85.0,2018-03-09,121
95.0,2018-03-12,122
90.0,2018-03-13,123
85.0,2018-03-14,124
70.0,2018-03-15,125
70.0,2018-03-16,126
65.0,2018-03-19,127
35.0,2018-03-20,128
30.0,2018-03-21,129
25.0,2018-03-22,130
10.0,2018-03-23,131
15.0,2018-03-26,132
20.0,2018-03-27,133
20.0,2018-03-28,134
25.0,2018-03-29,135
25.0,2018-03-30,136
20.0,2018-04-02,137
15.0,2018-04-03,138
15.0,2018-04-04,139
20.0,2018-04-09,140
25.0,2018-04-10,141
20.0,2018-04-11,142
20.0,2018-04-12,143
15.0,2018-04-13,144
15.0,2018-04-16,145
15.0,2018-04-17,146
20.0,2018-04-18,147
15.0,2018-04-19,148
10.0,2018-04-20,149
15.0,2018-04-23,150
15.0,2018-04-24,151
15.0,2018-04-25,152
10.0,2018-04-26,153
15.0,2018-04-27,154
20.0,2018-05-02,155
25.0,2018-05-03,156
25.0,2018-05-04,157
30.0,2018-05-07,158
40.0,2018-05-08,159
55.0,2018-05-09,160
55.0,2018-05-10,161
60.0,2018-05-11,162
55.0,2018-05-14,163
60.0,2018-05-15,164
55.0,2018-05-16,165
50.0,2018-05-17,166
60.0,2018-05-18,167
70.0,2018-05-21,168
85.0,2018-05-22,169
80.0,2018-05-23,170
75.0,2018-05-24,171
65.0,2018-05-25,172
60.0,2018-05-28,173
60.0,2018-05-29,174
35.0,2018-05-30,175
25.0,2018-05-31,176
10.0,2018-06-01,177
5.0,2018-06-04,178
0.0,2018-06-05,179
