MASS,date,ind
70.0,2017-09-05,0
70.0,2017-09-06,1
75.0,2017-09-07,2
80.0,2017-09-08,3
95.0,2017-09-11,4
90.0,2017-09-12,5
85.0,2017-09-13,6
80.0,2017-09-14,7
80.0,2017-09-15,8
75.0,2017-09-18,9
65.0,2017-09-19,10
65.0,2017-09-20,11
60.0,2017-09-21,12
60.0,2017-09-22,13
55.0,2017-09-25,14
55.0,2017-09-26,15
65.0,2017-09-27,16
60.0,2017-09-28,17
60.0,2017-09-29,18
75.0,2017-10-09,19
75.0,2017-10-10,20
80.0,2017-10-11,21
75.0,2017-10-12,22
70.0,2017-10-13,23
75.0,2017-10-16,24
75.0,2017-10-17,25
75.0,2017-10-18,26
65.0,2017-10-19,27
55.0,2017-10-20,28
55.0,2017-10-23,29
45.0,2017-10-24,30
50.0,2017-10-25,31
55.0,2017-10-26,32
50.0,2017-10-27,33
30.0,2017-10-30,34
30.0,2017-10-31,35
25.0,2017-11-01,36
15.0,2017-11-02,37
10.0,2017-11-03,38
25.0,2017-11-06,39
35.0,2017-11-07,40
35.0,2017-11-08,41
35.0,2017-11-09,42
50.0,2017-11-10,43
50.0,2017-11-13,44
55.0,2017-11-14,45
55.0,2017-11-15,46
55.0,2017-11-16,47
55.0,2017-11-17,48
50.0,2017-11-20,49
50.0,2017-11-21,50
45.0,2017-11-22,51
35.0,2017-11-23,52
40.0,2017-11-24,53
20.0,2017-11-27,54
20.0,2017-11-28,55
15.0,2017-11-29,56
10.0,2017-11-30,57
10.0,2017-12-01,58
5.0,2017-12-04,59
5.0,2017-12-05,60
10.0,2017-12-06,61
10.0,2017-12-07,62
20.0,2017-12-08,63
25.0,2017-12-11,64
20.0,2017-12-12,65
25.0,2017-12-13,66
25.0,2017-12-14,67
30.0,2017-12-15,68
30.0,2017-12-18,69
40.0,2017-12-19,70
35.0,2017-12-20,71
20.0,2017-12-21,72
10.0,2017-12-22,73
10.0,2017-12-25,74
10.0,2017-12-26,75
10.0,2017-12-27,76
10.0,2017-12-28,77
15.0,2017-12-29,78
25.0,2018-01-02,79
30.0,2018-01-03,80
35.0,2018-01-04,81
40.0,2018-01-05,82
50.0,2018-01-08,83
50.0,2018-01-09,84
50.0,2018-01-10,85
45.0,2018-01-11,86
50.0,2018-01-12,87
45.0,2018-01-15,88
55.0,2018-01-16,89
70.0,2018-01-17,90
75.0,2018-01-18,91
80.0,2018-01-19,92
80.0,2018-01-22,93
85.0,2018-01-23,94
90.0,2018-01-24,95
90.0,2018-01-25,96
90.0,2018-01-26,97
80.0,2018-01-29,98
75.0,2018-01-30,99
65.0,2018-01-31,100
55.0,2018-02-01,101
40.0,2018-02-02,102
30.0,2018-02-05,103
20.0,2018-02-06,104
10.0,2018-02-07,105
15.0,2018-02-08,106
5.0,2018-02-09,107
10.0,2018-02-12,108
15.0,2018-02-13,109
15.0,2018-02-14,110
20.0,2018-02-22,111
25.0,2018-02-23,112
40.0,2018-02-26,113
45.0,2018-02-27,114
40.0,2018-02-28,115
50.0,2018-03-01,116
40.0,2018-03-02,117
45.0,2018-03-05,118
50.0,2018-03-06,119
55.0,2018-03-07,120
70.0,2018-03-08,121
85.0,2018-03-09,122
95.0,2018-03-12,123
90.0,2018-03-13,124
85.0,2018-03-14,125
70.0,2018-03-15,126
70.0,2018-03-16,127
65.0,2018-03-19,128
35.0,2018-03-20,129
30.0,2018-03-21,130
25.0,2018-03-22,131
10.0,2018-03-23,132
15.0,2018-03-26,133
20.0,2018-03-27,134
20.0,2018-03-28,135
25.0,2018-03-29,136
25.0,2018-03-30,137
20.0,2018-04-02,138
15.0,2018-04-03,139
15.0,2018-04-04,140
20.0,2018-04-09,141
25.0,2018-04-10,142
20.0,2018-04-11,143
20.0,2018-04-12,144
15.0,2018-04-13,145
15.0,2018-04-16,146
15.0,2018-04-17,147
20.0,2018-04-18,148
15.0,2018-04-19,149
10.0,2018-04-20,150
15.0,2018-04-23,151
15.0,2018-04-24,152
15.0,2018-04-25,153
10.0,2018-04-26,154
15.0,2018-04-27,155
20.0,2018-05-02,156
25.0,2018-05-03,157
25.0,2018-05-04,158
30.0,2018-05-07,159
40.0,2018-05-08,160
55.0,2018-05-09,161
55.0,2018-05-10,162
60.0,2018-05-11,163
55.0,2018-05-14,164
60.0,2018-05-15,165
55.0,2018-05-16,166
50.0,2018-05-17,167
60.0,2018-05-18,168
70.0,2018-05-21,169
85.0,2018-05-22,170
80.0,2018-05-23,171
75.0,2018-05-24,172
65.0,2018-05-25,173
60.0,2018-05-28,174
60.0,2018-05-29,175
35.0,2018-05-30,176
25.0,2018-05-31,177
10.0,2018-06-01,178
0.0,2018-06-04,179
