date,kdj_k,kdj_d,kdj_j,ind
2017-08-08,50.0,50.0,50.0,0
2017-08-09,56.232795910342006,52.07759863678067,64.54319045746466,1
2017-08-10,53.24631292909422,52.46717006755186,54.80459865217895,2
2017-08-11,36.23777319310804,47.057371109403924,14.598577360516273,3
2017-08-14,40.4010230772827,44.838588432030186,31.525892367787733,4
2017-08-15,46.90388207772461,45.52701964726166,49.65760693865052,5
2017-08-16,49.71935461694691,46.924464637156746,55.30913457652724,6
2017-08-17,58.10120021857581,50.650043164296434,73.00351432713458,7
2017-08-18,64.79944414689632,55.366510158496396,83.66531212369617,8
2017-08-21,74.61032675529542,61.78111569076273,100.26874888436078,9
2017-08-22,81.30971135865403,68.29064758005983,107.34783891584243,10
2017-08-23,83.25570090158209,73.27899868723391,103.20910533027845,11
2017-08-24,78.94207753701559,75.16669163716114,86.4928493367245,12
2017-08-25,85.91278127777008,78.74872151736412,100.240900798582,13
2017-08-28,86.96792285019394,81.48845529497406,97.92685796063373,14
2017-08-29,86.44379440858094,83.14023499950969,93.05091322672342,15
2017-08-30,86.05831504633368,84.11292834845102,89.94908844209897,16
2017-08-31,83.96675589521186,84.0642041973713,83.77185929089299,17
2017-09-01,83.8420097523935,83.99013938237869,83.54575049242311,18
2017-09-04,86.02464086415291,84.6683065429701,88.73730950651856,19
2017-09-05,89.19710487780732,86.17790598791584,95.2355026575903,20
2017-09-06,90.17016818313138,87.50866005298768,95.49318444341876,21
2017-09-07,87.87694932440144,87.63142314345893,88.36800168628645,22
2017-09-08,85.58562255325033,86.9494896133894,82.85788843297217,23
2017-09-11,83.03859978346597,85.64585967008159,77.82408001023472,24
2017-09-12,83.52707749038568,84.93959894351629,80.70203458412445,25
2017-09-13,84.14805826567358,84.67575205090205,83.09267069521667,26
2017-09-14,82.02996914663073,83.79382441614494,78.50225860760233,27
2017-09-15,79.43119978967597,82.33961620732195,73.614366954384,28
2017-09-18,80.53241876922657,81.73721706129015,78.12282218509938,29
2017-09-19,78.60183255876132,80.69208889378054,74.42131988872288,30
2017-09-20,79.81024117144358,80.39813965300155,78.63444420832764,31
2017-09-21,79.1106417096523,79.96897367188512,77.39397778518665,32
2017-09-22,71.33240358236222,77.09011697537748,59.81697679633169,33
2017-09-25,56.30234772985642,70.1608605602038,28.585322069161663,34
2017-09-26,47.82992954247172,62.71721688762644,18.055354852162267,35
2017-09-27,42.39904205522955,55.94449194349415,15.308142278700345,36
2017-09-28,36.55982526050616,49.48293638249815,10.713603016522171,37
2017-09-29,40.843667259127315,46.60318000804121,29.32464176129953,38
2017-10-09,49.508669717202,47.571676577761465,53.38265599608306,39
2017-10-10,57.59386599651235,50.91240638401176,70.95678522151351,40
2017-10-11,66.85568494160631,56.22683256987661,88.11338968506571,41
2017-10-12,76.12637430532813,62.86001314836045,102.6590966192635,42
2017-10-13,82.35290290276917,69.35764306649669,108.34342257531412,43
2017-10-16,80.09132920790665,72.93553844696667,94.40291072978661,44
2017-10-17,78.4925125290916,74.78786314100832,85.90181130525818,45
2017-10-18,84.88012534543961,78.15195054248541,98.33647495134801,46
2017-10-19,86.04350128514537,80.78246745670539,96.56556894202535,47
2017-10-20,85.76423292427408,82.44305594589495,92.40658688103233,48
2017-10-23,86.52502371399632,83.8037118685954,91.96764740479813,49
2017-10-24,90.99462494996968,86.20068289572016,100.58250905846873,50
2017-10-25,93.7725052550796,88.7246236821733,103.86826840089219,51
2017-10-26,92.5965420149025,90.01526312641637,97.75909979187472,52
2017-10-27,94.68024434956226,91.570256867465,100.90021931375676,53
2017-10-30,92.95361477263367,92.0313761691879,94.79809197952522,54
2017-10-31,91.26154581393388,91.77476605076988,90.23510534026187,55
2017-11-01,88.60033955790861,90.7166238864828,84.36777090076023,56
2017-11-02,86.60124491714903,89.34483089670488,81.11407295803735,57
2017-11-03,83.4514474369419,87.38036974345056,75.59360282392458,58
2017-11-06,86.63446695380088,87.131735480234,85.63992990093465,59
2017-11-07,89.23012508946323,87.8311986833104,92.02797790176888,60
2017-11-08,85.66281129833389,87.10840288831824,82.77162811836519,61
2017-11-09,88.10092615910199,87.4392439785795,89.424290520147,62
2017-11-10,91.32733127806074,88.73527307840658,96.51144767736906,63
2017-11-13,92.8717886163727,90.11411159106194,98.38714266699424,64
2017-11-14,89.6349038493266,89.95437567715015,88.99596019367948,65
2017-11-15,83.71351617360403,87.87408917596811,75.39237016887589,66
2017-11-16,84.35887522147362,86.70235119113661,79.67192328214765,67
2017-11-17,86.99181939047145,86.79884059091489,87.37777698958456,68
2017-11-20,91.22599777655542,88.27455965279506,97.12887402407614,69
2017-11-21,93.8301764390336,90.12643191487457,101.23766548735162,70
2017-11-22,92.216866080706,90.82324330348504,95.00411163514792,71
2017-11-23,77.25067986075315,86.29905548924108,59.153928603777274,72
2017-11-24,67.47297601796542,80.02369566548253,42.37153672293118,73
2017-11-27,54.71731996618991,71.58823709905165,20.975485700466436,74
2017-11-28,46.87100925178987,63.349161149964395,13.914705455440824,75
2017-11-29,41.408288394039566,56.03553689798945,12.153791386139787,76
2017-11-30,32.42951224522048,48.16686201373313,0.9548127081951776,77
2017-12-01,24.276010652699544,40.2032448933886,-7.578457828678566,78
2017-12-04,20.56026464707132,33.65558481128284,-5.6303756813517225,79
2017-12-05,20.635318713645887,29.315496112070523,3.274963916796615,80
2017-12-06,19.504549538716763,26.04518058761927,6.42328744091175,81
2017-12-07,14.651919726396562,22.2474269672117,-0.5390947552337195,82
2017-12-08,15.00385736237709,19.832903765600165,5.345764555930941,83
