date,avg,DIFF,DEA,MACD,ind
2017-09-22,3837.227777777779,32.68967238916548,44.90626047236219,-12.216588083196712,33
2017-09-25,3834.990000000001,28.72327464903219,41.66966330769619,-12.946388658663999,34
2017-09-26,3832.5644444444456,25.526885825292084,38.44110781121537,-12.914221985923284,35
2017-09-27,3831.591111111112,22.765192179053884,35.30592468478307,-12.540732505729189,36
2017-09-28,3830.6177777777784,20.448934283236667,32.334526604473794,-11.885592321237127,37
2017-09-29,3829.8800000000006,19.514784259069984,29.77057813539303,-10.255793876323047,38
2017-10-09,3835.4455555555564,22.20689139957676,28.257840788229778,-6.050949388653017,39
2017-10-10,3840.7144444444452,24.673278573483003,27.540928345280424,-2.8676497717974208,40
2017-10-11,3847.9222222222234,27.347932016588857,27.50232907954211,-0.1543970629532545,41
2017-10-12,3856.280000000001,29.95026241199548,27.991915746032785,1.9583466659626971,42
2017-10-13,3867.747777777779,32.28997696780425,28.851527990387076,3.438448977417174,43
2017-10-16,3878.0444444444456,33.15283051474489,29.711788495258638,3.441042019486254,44
2017-10-17,3888.2522222222233,33.42073194878958,30.453577185964825,2.967154762824755,45
2017-10-18,3901.765555555557,35.72987715268437,31.508837179308735,4.221039973375632,46
2017-10-19,3912.293333333335,36.102000863397734,32.42746991612653,3.674530947271201,47
2017-10-20,3917.253333333335,35.63113481494338,33.068202895889904,2.562931919053476,48
2017-10-23,3921.802222222224,35.171269565414605,33.48881622979484,1.682453335619762,49
2017-10-24,3928.103333333335,36.691645571448134,34.129382098125504,2.5622634733226306,50
2017-10-25,3935.214444444446,38.86468494288238,35.076442667076876,3.7882422758055014,51
2017-10-26,3943.278888888891,41.450915961038845,36.35133732586927,5.099578635169578,52
2017-10-27,3955.336666666668,45.26951956830089,38.13497377435559,7.1345457939453,53
2017-10-30,3966.075555555557,46.768203083183835,39.86161963612124,6.906583447062594,54
2017-10-31,3973.026666666668,47.170098109565515,41.3233153308101,5.8467827787554185,55
2017-11-01,3980.290000000002,46.14172414892937,42.28699709443395,3.85472705449542,56
2017-11-02,3988.0988888888905,44.85087020086485,42.79977171572013,2.0510984851447205,57
2017-11-03,3994.9766666666683,42.9750060512315,42.8348185828224,0.14018746840910268,58
2017-11-06,4001.8088888888906,43.264343186974656,42.92072350365285,0.3436196833218048,59
2017-11-07,4010.3977777777795,45.65918745928684,43.46841629477965,2.19077116450719,60
2017-11-08,4016.4455555555573,46.51737955344288,44.0782089465123,2.439170606930581,61
2017-11-09,4022.4377777777795,48.88448299412448,45.039463756034735,3.8450192380897477,62
2017-11-10,4033.792222222224,53.054555684183924,46.64248214166457,6.412073542519352,63
2017-11-13,4047.2755555555577,57.006213140108684,48.715228341353395,8.29098479875529,64
2017-11-14,4058.6900000000023,57.161543475775034,50.40449136823772,6.757052107537312,65
2017-11-15,4067.194444444447,54.583280422798,51.24024917914978,3.3430312436482197,66
2017-11-16,4079.6733333333354,54.441299051687565,51.880459153657334,2.560839898030231,67
2017-11-17,4090.780000000002,54.973236164900754,52.499014555906015,2.474221608994739,68
2017-11-20,4100.733333333335,56.596682778787,53.31854820048221,3.278134578304787,69
2017-11-21,4119.58777777778,63.11640097737245,55.27811875586026,7.838282221512188,70
2017-11-22,4136.440000000001,68.29251750358753,57.880998505405714,10.411518998181819,71
2017-11-23,4135.383333333335,61.58454592152157,58.621707988628884,2.9628379328926826,72
2017-11-24,4132.731111111113,55.77078418717883,58.05152322833887,-2.2807390411600394,73
2017-11-27,4127.242222222224,46.25264283762681,55.69174715019646,-9.439104312569654,74
2017-11-28,4125.25888888889,38.73657604994196,52.300712930145565,-13.564136880203606,75
2017-11-29,4119.563333333335,32.24134906756808,48.28884015763007,-16.04749109006199,76
2017-11-30,4106.813333333335,22.983933636163783,43.22785885333681,-20.24392521717303,77
2017-12-01,4090.6255555555567,14.834061903454767,37.549099463360406,-22.71503755990564,78
2017-12-04,4068.532222222223,9.93266311681964,32.02581219405225,-22.09314907723261,79
2017-12-05,4047.710000000001,7.679286140204567,27.156506983282714,-19.477220843078147,80
2017-12-06,4038.0900000000006,3.883856473167725,22.501976881259715,-18.61812040809199,81
2017-12-07,4023.296666666667,-2.704629522068444,17.460655600594084,-20.165285122662528,82
2017-12-08,4018.1222222222227,-5.257493142016301,12.917025852072006,-18.17451899408831,83
2017-12-11,4019.6422222222227,-1.923155600471091,9.948989561563387,-11.872145162034478,84
2017-12-12,4015.4500000000003,-3.555077405807424,7.248176168089225,-10.803253573896649,85
2017-12-13,4020.3377777777787,-2.075300160349343,5.383480902401511,-7.458781062750854,86
2017-12-14,4023.450000000001,-2.8020239690608832,3.7463799281090324,-6.548403897169916,87
2017-12-15,4019.227777777779,-6.952340070255559,1.606635928436114,-8.558975998691674,88
2017-12-18,4013.1300000000015,-9.771392969251337,-0.6689698511013766,-9.10242311814996,89
2017-12-19,4015.2977777777796,-7.8769028705246456,-2.1105564549860305,-5.7663464155386155,90
2017-12-20,4021.9011111111126,-6.688947347356589,-3.026234633460142,-3.6627127138964464,91
2017-12-21,4029.064444444446,-2.701700742625235,-2.9613278552931606,0.2596271126679257,92
2017-12-22,4027.4088888888905,-0.6039810296006181,-2.489858490154652,1.8858774605540338,93
2017-12-25,4030.244444444446,0.0045911789466117625,-1.990968556334399,1.9955597352810108,94
2017-12-26,4030.6366666666677,1.4449871693591376,-1.3037774111956917,2.7487645805548295,95
2017-12-27,4026.754444444445,-2.421540042361812,-1.5273299374289158,-0.8942101049328963,96
2017-12-28,4030.981111111112,-3.2143856920879443,-1.8647410883607214,-1.349644603727223,97
2017-12-29,4036.043333333334,-2.8456535294276364,-2.0609235765741043,-0.7847299528535321,98
2018-01-02,4041.8288888888897,1.986779401766853,-1.2513829809059127,3.2381623826727655,99
2018-01-03,4050.8177777777787,7.663964411657162,0.5316864976067022,7.1322779140504595,100
2018-01-04,4057.591111111112,13.414192389073378,3.1081876759000373,10.30600471317334,101
2018-01-05,4066.941111111112,18.5594229424446,6.19843472920895,12.360988213235649,102
2018-01-08,4080.1211111111124,24.087003313974947,9.77614844616215,14.310854867812797,103
2018-01-09,4095.196666666668,30.467791316581952,13.91447702024611,16.55331429633584,104
2018-01-10,4119.263333333334,36.59635409564362,18.45085243532561,18.145501660318008,105
2018-01-11,4140.006666666668,40.80378813512834,22.921439575286158,17.882348559842185,106
2018-01-12,4161.57888888889,45.18358644942509,27.373868950113945,17.809717499311148,107
2018-01-15,4176.894444444446,48.11928499823898,31.522952159738953,16.59633283850003,108
2018-01-16,4193.236666666668,52.521792009438286,35.72272012967882,16.799071879759467,109
2018-01-17,4206.493333333336,54.54686967337511,39.48755003841808,15.059319634957035,110
2018-01-18,4221.234444444446,57.37054169300245,43.06414836933495,14.3063933236675,111
2018-01-19,4235.1500000000015,60.04423866914385,46.460166429296734,13.584072239847117,112
2018-01-22,4251.516666666667,65.53908115849572,50.275949375136534,15.263131783359185,113
2018-01-23,4270.93888888889,72.76758645746304,54.774276791601835,17.993309665861204,114
2018-01-24,4291.416666666668,78.18242580614151,59.45590659450977,18.72651921163174,115
2018-01-25,4306.981111111113,79.55470819264337,63.47566691413649,16.079041278506885,116
2018-01-26,4324.321111111113,81.01715498329031,66.98396452796726,14.033190455323052,117
2018-01-29,4329.160000000002,74.9153437225923,68.57024036689226,6.345103355700033,118
2018-01-30,4330.046666666668,65.61785235056323,67.97976276362645,-2.361910413063228,119
2018-01-31,4330.5444444444465,59.16519839982175,66.21684989086552,-7.051651491043771,120
2018-02-01,4326.155555555557,51.04229062189188,63.18193803707079,-12.139647415178914,121
2018-02-02,4318.892222222224,46.117137341498164,59.76897789795627,-13.651840556458104,122
2018-02-05,4306.841111111113,41.96578206664253,56.20833873169352,-14.24255666505099,123
2018-02-06,4280.063333333335,28.242802497264165,50.61523148480765,-22.372428987543486,124
2018-02-07,4245.1100000000015,9.320550099634602,42.356295207773044,-33.03574510813844,125
2018-02-08,4204.082222222223,-8.678029985114335,32.14943016919557,-40.827460154309904,126
