date,avg,DIFF,DEA,MACD,ind
2017-09-22,3364.9700000000003,26.214834238341155,40.041889452402046,-13.827055214060891,33
2017-09-25,3360.7544444444447,22.522338696400766,36.53797930120179,-14.015640604801021,34
2017-09-26,3356.246666666667,19.534630352186923,33.13730951139881,-13.602679159211888,35
2017-09-27,3353.34,17.106031161111332,29.931053841341317,-12.825022680229985,36
2017-09-28,3351.786666666667,14.559225171965409,26.856688107466134,-12.297462935500725,37
2017-09-29,3350.24,13.13982760016188,24.113316006005284,-10.973488405843405,38
2017-10-09,3352.188888888889,13.90742405985793,22.072137616775812,-8.164713556917881,39
2017-10-10,3354.076666666667,15.037165741273839,20.665143241675416,-5.6279775004015775,40
2017-10-11,3357.4622222222224,16.172921580089678,19.76669890935827,-3.5937773292685904,41
2017-10-12,3361.192222222222,16.70454884320634,19.15426889612788,-2.449720052921542,42
2017-10-13,3366.633333333333,17.283293293303814,18.780073775563068,-1.496780482259254,43
2017-10-16,3370.51,16.57851138619162,18.339761297688778,-1.7612499114971563,44
2017-10-17,3373.4844444444448,15.324468451716712,17.736702728494365,-2.412234276777653,45
2017-10-18,3378.1677777777786,14.945096141781505,17.178381411151793,-2.2332852693702883,46
2017-10-19,3380.526666666667,13.550601071127858,16.452825343147005,-2.902224272019147,47
2017-10-20,3381.0011111111116,12.980092385332227,15.758278751584049,-2.7781863662518216,48
2017-10-23,3380.7466666666674,12.548724128537287,15.116367826974697,-2.5676436984374096,49
2017-10-24,3380.743333333334,12.670031344683139,14.627100530516385,-1.9570691858332463,50
2017-10-25,3381.9433333333345,13.31071327933114,14.363823080279335,-1.0531098009481958,51
2017-10-26,3383.8377777777787,14.512151110985542,14.393488686420577,0.11866242456496501,52
2017-10-27,3388.097777777779,16.02516193509109,14.719823336154679,1.3053385989364124,53
2017-10-30,3390.1311111111117,14.91637939631255,14.759134548186253,0.1572448481262967,54
2017-10-31,3391.414444444445,14.117004137767708,14.630708466102543,-0.5137043283348355,55
2017-11-01,3394.274444444445,13.534849685770496,14.411536710036135,-0.8766870242656388,56
2017-11-02,3394.792222222223,11.91937426399727,13.913104220828362,-1.9937299568310927,57
2017-11-03,3393.796666666667,9.59489210432912,13.049461797528513,-3.454569693199394,58
2017-11-06,3393.787777777778,8.9750283939984,12.23457511682249,-3.2595467228240906,59
2017-11-07,3395.6400000000003,10.41331148825202,11.870322391108397,-1.4570109028563767,60
2017-11-08,3396.516666666667,11.572270476761332,11.810712008238983,-0.23844153147765113,61
2017-11-09,3397.7366666666667,13.33199879565882,12.114969365722951,1.2170294299358684,62
2017-11-10,3402.44,14.948059458092303,12.68158738419682,2.266472073895482,63
2017-11-13,3408.4955555555553,17.253998045946446,13.596069516546745,3.657928529399701,64
2017-11-14,3412.233333333333,17.404986990322868,14.35785301130197,3.0471339790208987,65
2017-11-15,3414.3677777777775,15.16869642548636,14.520021694138848,0.6486747313475121,66
2017-11-16,3417.4244444444444,12.982899584938878,14.212597272298854,-1.2296976873599768,67
2017-11-17,3416.84,9.818951637673308,13.333868145373746,-3.5149165077004376,68
2017-11-20,3414.4877777777783,7.985215193089971,12.26413755491699,-4.27892236182702,69
2017-11-21,3413.936666666667,7.901402136016259,11.391590471136844,-3.4901883351205854,70
2017-11-22,3414.2333333333336,9.337942878924423,10.98086095269436,-1.6429180737699376,71
2017-11-23,3405.261111111111,4.091723314206774,9.603033424996843,-5.511310110790069,72
2017-11-24,3394.8144444444442,0.08637495650236815,7.699701731297948,-7.6133267747955795,73
2017-11-27,3382.89,-5.572702816132278,5.045220821811903,-10.61792363794418,74
2017-11-28,3375.2388888888886,-9.031151751203197,2.2299463072088823,-11.26109805841208,75
2017-11-29,3368.4177777777777,-11.302800896900408,-0.4766031336129757,-10.826197763287432,76
2017-11-30,3361.115555555555,-14.602665032168716,-3.301815513324124,-11.300849518844592,77
2017-12-01,3352.806666666666,-16.987314539490853,-6.0389153185574695,-10.948399220933384,78
2017-12-04,3341.597777777777,-19.30021868865242,-8.69117599257646,-10.609042696075962,79
2017-12-05,3327.5111111111105,-21.366223720745438,-11.226185538210256,-10.140038182535182,80
2017-12-06,3321.0711111111104,-23.516783518302873,-13.68430513422878,-9.832478384074093,81
2017-12-07,3311.9855555555546,-26.681503775439978,-16.283744862471018,-10.39775891296896,82
2017-12-08,3308.4033333333323,-27.425811626183076,-18.51215821521343,-8.913653410969648,83
2017-12-11,3307.129999999999,-25.126955251395884,-19.83511762244992,-5.291837628945963,84
2017-12-12,3300.7911111111102,-26.34127626543568,-21.136349351047073,-5.204926914388608,85
2017-12-13,3299.218888888888,-25.219148555462198,-21.952909191930097,-3.266239363532101,86
2017-12-14,3296.4211111111103,-24.89817500997924,-22.541962355539926,-2.3562126544393145,87
2017-12-15,3291.5899999999992,-26.460965821808713,-23.325763048793682,-3.135202773015031,88
2017-12-18,3287.6166666666663,-27.241830807466613,-24.10897660052827,-3.132854206938344,89
2017-12-19,3287.903333333333,-25.260094476486756,-24.339200175719967,-0.9208943007667898,90
2017-12-20,3289.632222222222,-24.13195239977631,-24.297750620531236,0.165798220754926,91
2017-12-21,3290.7511111111107,-21.979910004635258,-23.83418249735204,1.854272492716781,92
2017-12-22,3287.9577777777777,-20.282669837448793,-23.12387996537139,2.841210127922597,93
2017-12-25,3287.9188888888884,-20.04599825532341,-22.508303623361794,2.4623053680383826,94
2017-12-26,3288.2611111111105,-17.585175810577766,-21.52367806080499,3.9385022502272236,95
2017-12-27,3286.4099999999994,-17.8770650540323,-20.79435545945045,2.91729040541815,96
2017-12-28,3289.7699999999995,-16.258721127348508,-19.887228593030063,3.6285074656815546,97
2017-12-29,3294.1311111111104,-13.944762539463682,-18.698735382316787,4.753972842853106,98
2018-01-02,3299.8855555555547,-8.689498545656988,-16.69688801498483,8.00738946932784,99
2018-01-03,3308.9411111111103,-2.8154370286215453,-13.920597817712173,11.105160789090627,100
2018-01-04,3318.4577777777768,3.143049197302389,-10.507868414709261,13.65091761201165,101
2018-01-05,3328.978888888888,8.257383998840396,-6.754817931999329,15.012201930839726,102
2018-01-08,3343.3144444444433,13.584599196639829,-2.6869345062714975,16.271533702911327,103
2018-01-09,3355.289999999999,17.95612564281737,1.441677523546276,16.514448119271094,104
2018-01-10,3371.517777777777,21.809075130359815,5.515157044908984,16.29391808545083,105
2018-01-11,3385.8466666666664,24.859231280082895,9.383971891943766,15.47525938813913,106
2018-01-12,3399.376666666666,27.25283816342653,12.957745146240319,14.295093017186213,107
2018-01-15,3406.283333333333,27.345802665608062,15.835356650113868,11.510446015494194,108
2018-01-16,3413.7811111111105,29.189056305031045,18.506096581097303,10.682959723933742,109
2018-01-17,3420.332222222222,30.945120480590504,20.99390136099594,9.951219119594562,110
2018-01-18,3429.554444444444,34.36784745026671,23.668690578850097,10.699156871416612,111
2018-01-19,3438.2633333333333,37.70362672906958,26.475677808893995,11.227948920175589,112
2018-01-22,3447.9811111111107,40.9643811300798,29.373418473131157,11.590962656948644,113
2018-01-23,3461.8333333333335,46.653184365856305,32.82937165167618,13.823812714180121,114
2018-01-24,3476.7366666666667,51.61320759199634,36.586138839740215,15.027068752256127,115
2018-01-25,3490.0000000000005,54.020824562994676,40.07307598439111,13.947748578603566,116
2018-01-26,3506.404444444445,56.07487404667745,43.27343559684838,12.801438449829071,117
2018-01-29,3516.005555555556,54.24274900914497,45.4672982793077,8.775450729837274,118
2018-01-30,3520.821111111112,49.39794735285432,46.253428094017025,3.144519258837292,119
2018-01-31,3521.496666666668,44.466459475670945,45.896034370347806,-1.4295748946768612,120
2018-02-01,3516.9544444444455,37.39573296818298,44.19597408991484,-6.800241121731858,121
