MASS,date,ind
80.0,2017-09-05,0
80.0,2017-09-06,1
80.0,2017-09-07,2
80.0,2017-09-08,3
90.0,2017-09-11,4
90.0,2017-09-12,5
90.0,2017-09-13,6
80.0,2017-09-14,7
80.0,2017-09-15,8
65.0,2017-09-18,9
60.0,2017-09-19,10
60.0,2017-09-20,11
65.0,2017-09-21,12
60.0,2017-09-22,13
55.0,2017-09-25,14
55.0,2017-09-26,15
60.0,2017-09-27,16
55.0,2017-09-28,17
55.0,2017-09-29,18
50.0,2017-10-09,19
50.0,2017-10-10,20
35.0,2017-10-11,21
30.0,2017-10-12,22
35.0,2017-10-13,23
30.0,2017-10-16,24
35.0,2017-10-17,25
40.0,2017-10-18,26
45.0,2017-10-19,27
65.0,2017-10-20,28
65.0,2017-10-23,29
60.0,2017-10-24,30
60.0,2017-10-25,31
85.0,2017-10-26,32
90.0,2017-10-27,33
85.0,2017-10-30,34
95.0,2017-10-31,35
90.0,2017-11-01,36
80.0,2017-11-02,37
65.0,2017-11-03,38
65.0,2017-11-06,39
65.0,2017-11-07,40
65.0,2017-11-08,41
55.0,2017-11-09,42
50.0,2017-11-10,43
50.0,2017-11-13,44
55.0,2017-11-14,45
50.0,2017-11-15,46
45.0,2017-11-16,47
20.0,2017-11-17,48
5.0,2017-11-20,49
5.0,2017-11-21,50
5.0,2017-11-22,51
0.0,2017-11-23,52
5.0,2017-11-24,53
5.0,2017-11-27,54
15.0,2017-11-28,55
10.0,2017-11-29,56
10.0,2017-11-30,57
10.0,2017-12-01,58
5.0,2017-12-04,59
0.0,2017-12-05,60
5.0,2017-12-06,61
10.0,2017-12-07,62
15.0,2017-12-08,63
20.0,2017-12-11,64
25.0,2017-12-12,65
25.0,2017-12-13,66
25.0,2017-12-14,67
25.0,2017-12-15,68
30.0,2017-12-18,69
40.0,2017-12-19,70
40.0,2017-12-20,71
40.0,2017-12-21,72
40.0,2017-12-22,73
25.0,2017-12-25,74
30.0,2017-12-26,75
30.0,2017-12-27,76
35.0,2017-12-28,77
40.0,2017-12-29,78
50.0,2018-01-02,79
50.0,2018-01-03,80
50.0,2018-01-04,81
45.0,2018-01-05,82
55.0,2018-01-08,83
45.0,2018-01-09,84
50.0,2018-01-10,85
50.0,2018-01-11,86
65.0,2018-01-12,87
55.0,2018-01-15,88
60.0,2018-01-16,89
75.0,2018-01-17,90
80.0,2018-01-18,91
80.0,2018-01-19,92
80.0,2018-01-22,93
80.0,2018-01-23,94
75.0,2018-01-24,95
60.0,2018-01-25,96
60.0,2018-01-26,97
50.0,2018-01-29,98
50.0,2018-01-30,99
35.0,2018-01-31,100
30.0,2018-02-01,101
25.0,2018-02-02,102
30.0,2018-02-05,103
25.0,2018-02-06,104
15.0,2018-02-07,105
10.0,2018-02-08,106
5.0,2018-02-09,107
5.0,2018-02-12,108
10.0,2018-02-13,109
15.0,2018-02-14,110
20.0,2018-02-22,111
25.0,2018-02-23,112
40.0,2018-02-26,113
45.0,2018-02-27,114
50.0,2018-02-28,115
60.0,2018-03-01,116
75.0,2018-03-02,117
75.0,2018-03-05,118
65.0,2018-03-06,119
65.0,2018-03-07,120
65.0,2018-03-08,121
60.0,2018-03-09,122
65.0,2018-03-12,123
75.0,2018-03-13,124
75.0,2018-03-14,125
70.0,2018-03-15,126
90.0,2018-03-16,127
95.0,2018-03-19,128
90.0,2018-03-20,129
85.0,2018-03-21,130
85.0,2018-03-22,131
75.0,2018-03-23,132
75.0,2018-03-26,133
75.0,2018-03-27,134
70.0,2018-03-28,135
70.0,2018-03-29,136
70.0,2018-03-30,137
65.0,2018-04-02,138
75.0,2018-04-03,139
75.0,2018-04-04,140
75.0,2018-04-09,141
70.0,2018-04-10,142
70.0,2018-04-11,143
65.0,2018-04-12,144
60.0,2018-04-13,145
45.0,2018-04-16,146
40.0,2018-04-17,147
35.0,2018-04-18,148
40.0,2018-04-19,149
35.0,2018-04-20,150
35.0,2018-04-23,151
40.0,2018-04-24,152
40.0,2018-04-25,153
35.0,2018-04-26,154
25.0,2018-04-27,155
10.0,2018-05-02,156
15.0,2018-05-03,157
15.0,2018-05-04,158
20.0,2018-05-07,159
25.0,2018-05-08,160
25.0,2018-05-09,161
30.0,2018-05-10,162
25.0,2018-05-11,163
55.0,2018-05-14,164
65.0,2018-05-15,165
60.0,2018-05-16,166
60.0,2018-05-17,167
65.0,2018-05-18,168
70.0,2018-05-21,169
65.0,2018-05-22,170
50.0,2018-05-23,171
40.0,2018-05-24,172
50.0,2018-05-25,173
45.0,2018-05-28,174
35.0,2018-05-29,175
15.0,2018-05-30,176
15.0,2018-05-31,177
5.0,2018-06-01,178
0.0,2018-06-04,179
